date,fund,price
2026-02-25,Zwitserleven PW Garantie Plusfonds,18.36
2026-02-25,Zwitserleven RZL Euro Kortlopend Obligatiefonds,20.08
2026-02-25,Zwitserleven RendementsGarantie 1%,23.11
2026-02-25,Zwitserleven RendementsGarantie 2%,26.25
2026-02-25,Zwitserleven Ultra Long Duration Fonds,22.88
2026-02-25,Zwitser­leven Vanguard US 500 Stock Index Fund,25.43
2026-02-25,Zwitserleven VP Credits Hypothekenmix,10.08
2026-02-25,Zwitserleven Selectie Fonds,41.1
2026-02-25,Zwitserleven Medium Duration Fonds,28.44
2026-02-25,Zwitserleven Index Aandelenfonds Noord-Amerika,49.23
2026-02-25,Zwitserleven Index Aandelenfonds Europa,44.46
2026-02-25,Zwitser­leven PPI Vanguard US 500 Stock Index Fund,50.85
2026-02-25,Zwitserleven VP Wereld Aandelen,13.59
2026-02-25,Zwitserleven Government Bonds 10+ Fonds,8.33
2026-02-25,Zwitser­leven Geldmarkt­fonds,25.22
2026-02-25,Zwitser­leven PPI Geldmarkt­fonds,50.43
2026-02-25,Zwitserleven RZL Europa Aandelenfonds,58.87
2026-02-26,Zwitserleven Credits Hypotheken Mixfonds,11.48
2026-02-26,Etappe Euro Obligatie­fonds,26.02
2026-02-26,PP Optimaal Euro Mixfonds,42.19
2026-02-26,Etappe Euro Aandelen­fonds,63.5
2026-02-26,PP Euro Mixfonds,43.08
2026-02-26,Zwitserleven Obligatiefonds,17.66
2026-02-26,Zwitserleven Credits Fonds,11.55
2026-02-26,Zwitserleven Duurzaam Wereld Aandelenfonds,37.85
2026-02-26,Zwitserleven Europees Aandelenfonds,39.3
2026-02-26,ASN Duurzaam Aandelenfonds,201.38
2026-02-26,Optimaal Staatsobligaties 10+ Fonds,22.14
2026-02-26,Euro Obligatiefonds,24.8
2026-02-26,Optimaal Euro Obligatiefonds,25.01
2026-02-26,Optimaal Vastgoedfonds,35.64
2026-02-26,Optimaal Wereld Aandelenfonds,74.92
2026-02-26,Optimaalfonds Oranje,38.35
2026-02-26,Zwitserleven Index Aandelenfonds Europa,44.81
2026-02-26,Zwitserleven Government Bonds 10+ Fonds,8.33
2026-02-26,Zwitserleven MaatschappijGarantie (2%),41.61
2026-02-26,PP Euro Obligatiefonds,25.89
2026-02-26,Zwitserleven Medium Duration Fonds,28.45
2026-02-26,Zwitserleven Index Aandelenfonds Pacific,40.09
2026-02-26,Euro Aandelen­fonds,62.35
2026-02-26,Zwitserleven PPI iShares Government Bond index Fund,50.7
2026-02-26,Etappe Staatsobligaties 10+ Fonds,21.96
2026-02-26,ASN Milieu & Waterfonds,53.62
2026-02-26,PP Wereld Aandelenfonds,78.95
2026-02-26,ASN Duurzaam Obligatiefonds,25.76
2026-02-26,Euro Mixfonds,39.98
2026-02-26,Zwitserleven Mixfonds,60.15
2026-02-26,Zwitserleven Lifestyle Garantie,168.62
2026-02-26,Zwitserleven Kortlopend Obligatiefonds,6.1
2026-02-26,Zwitserleven Index Wereld Aandelenfonds,91.34
2026-02-26,Zwitserleven Long Duration Fonds,27.06
2026-02-26,Zwitserleven MaatschappijGarantie (3%),46.37
2026-02-26,PP Euro Aandelenfonds,66.76
2026-02-26,Zwitserleven Index Aandelenfonds Opkomende Landen,35.84
2026-02-26,Zwitserleven MaatschappijGarantie plus,53.43
2026-02-26,Zwitserleven Vanguard Inflation Linked Bond Index Fund,25.43
2026-02-26,Zwitserleven VP Selectie,10.46
2026-02-26,Zwitserleven Index Aandelenfonds Noord-Amerika,49.57
2026-02-26,Zwitserleven VP Obligatie,8.93
2026-02-26,Zwitser­leven Geldmarkt­fonds,25.22
2026-02-26,Zwitserleven PW Europees Beheer Fonds 3%,190.0
2026-02-26,Zwitserleven PW Europees Beheer Fonds 4%,191.95
2026-02-26,Zwitserleven PW Garandement,15.99
2026-02-26,Zwitserleven PW Garantiefonds,13.49
2026-02-26,Zwitserleven PW Vastrentendfonds,19.64
2026-02-26,Zwitserleven PW Garantie Plusfonds,18.41
2026-02-26,Zwitserleven VP Wereld Aandelen,13.69
2026-02-26,Zwitserleven Wereld Aandelenfonds,87.82
2026-02-26,Zwitser­leven PPI Geldmarkt­fonds,50.43
2026-02-26,Zwitserleven PW Wereldbeheerfonds 3%,141.02
2026-02-26,Zwitser­leven PPI Vanguard US 500 Stock Index Fund,51.26
2026-02-26,Zwitserleven RZL Euro Mixfonds,45.31
2026-02-26,Zwitser­leven Vanguard US 500 Stock Index Fund,25.63
2026-02-26,Zwitserleven PW Wereldbeheerfonds 4%,142.28
2026-02-26,Zwitserleven RZL Euro Kortlopend Obligatiefonds,20.08
2026-02-26,Zwitserleven RZL Amerika Aandelenfonds,91.55
2026-02-26,Zwitserleven Vastgoedfonds,25.9
2026-02-26,Zwitserleven Amerika Aandelenfonds,100.37
2026-02-26,Zwitserleven PPI Vanguard Inflation Linked Bond Index Fund,50.92
2026-02-26,Zwitserleven RendementsGarantie 1%,23.12
2026-02-26,Zwitserleven Vanguard Small Cap Fund,27.73
2026-02-26,Wereld Beheer Mixfonds,39.51
2026-02-26,Zwitserleven RZL Europa Aandelenfonds,59.52
2026-02-26,Zwitserleven RendementsGarantie 2%,26.25
2026-02-26,Zwitserleven Selectie Fonds,41.11
2026-02-26,Zwitserleven PPI Vanguard Small Cap Fund,55.58
2026-02-26,Zwitserleven RZL Wereld Aandelenfonds,63.26
2026-02-26,Zwitserleven VP Credits Hypothekenmix,10.08
2026-02-26,Zwitserleven Ultra Long Duration Fonds,22.92
2026-02-26,Zwitserleven RZL Vastgoedfonds,47.12
2026-02-26,Zwitserleven PW Safetyfonds,113.2
2026-02-26,Zwitserleven PW Verzekerd Rendementfonds,15.22
2026-02-26,Zwitserleven PW Vastrentendfonds Nederland 3%,20.12
2026-02-26,Zwitserleven PW Doorlopend Garantiefonds,13.5
2026-02-26,Zwitserleven RZL Euro Obligatiefonds,26.83
2026-02-26,Zwitserleven PW Vastrentendfonds Nederland 4%,20.12
2026-02-26,Zwitserleven RZL Azië Aandelenfonds,49.97
2026-02-26,Zwitserleven PW Collectief Garantiefonds,20.33
2026-02-27,Zwitserleven RZL Euro Obligatiefonds,26.84
2026-02-27,Zwitserleven Obligatiefonds,17.65
2026-02-27,Zwitserleven Europees Aandelenfonds,39.07
2026-02-27,Zwitserleven PW Garantie Plusfonds,18.4
2026-02-27,Etappe Euro Aandelen­fonds,63.3
2026-02-27,Etappe Euro Obligatie­fonds,26.03
2026-02-27,Zwitserleven Kortlopend Obligatiefonds,6.1
2026-02-27,ASN Duurzaam Obligatiefonds,25.75
2026-02-27,Zwitserleven PW Garandement,16.0
2026-02-27,ASN Milieu & Waterfonds,53.6
2026-02-27,Zwitserleven PPI Vanguard Inflation Linked Bond Index Fund,50.97
2026-02-27,Optimaal Staatsobligaties 10+ Fonds,22.18
2026-02-27,Optimaalfonds Oranje,38.35
2026-02-27,PP Euro Aandelenfonds,66.54
2026-02-27,PP Euro Mixfonds,43.01
2026-02-27,Euro Aandelen­fonds,62.15
2026-02-27,Zwitserleven PW Vastrentendfonds Nederland 4%,20.12
2026-02-27,Etappe Staatsobligaties 10+ Fonds,22.0
2026-02-27,Euro Mixfonds,39.92
2026-02-27,Zwitserleven MaatschappijGarantie (3%),46.37
2026-02-27,Zwitserleven PW Verzekerd Rendementfonds,15.21
2026-02-27,Optimaal Wereld Aandelenfonds,74.79
2026-02-27,Zwitserleven Amerika Aandelenfonds,99.75
2026-02-27,Zwitserleven Duurzaam Wereld Aandelenfonds,37.79
2026-02-27,Zwitserleven Mixfonds,59.97
2026-02-27,Wereld Beheer Mixfonds,39.51
2026-02-27,Zwitserleven Government Bonds 10+ Fonds,8.35
2026-02-27,Zwitserleven Index Aandelenfonds Europa,44.67
2026-02-27,Zwitserleven Index Aandelenfonds Noord-Amerika,49.36
2026-02-27,Zwitserleven Credits Hypotheken Mixfonds,11.49
2026-02-27,Zwitserleven Credits Fonds,11.54
2026-02-27,Zwitserleven Index Aandelenfonds Pacific,40.45
2026-02-27,PP Euro Obligatiefonds,25.91
2026-02-27,Zwitserleven Long Duration Fonds,27.17
2026-02-27,Zwitserleven MaatschappijGarantie plus,53.44
2026-02-27,Zwitserleven Lifestyle Garantie,168.64
2026-02-27,Zwitserleven Medium Duration Fonds,28.46
2026-02-27,Zwitserleven MaatschappijGarantie (2%),41.62
2026-02-27,Zwitserleven PW Wereldbeheerfonds 4%,142.26
2026-02-27,Zwitserleven Index Aandelenfonds Opkomende Landen,36.01
2026-02-27,Zwitserleven PW Wereldbeheerfonds 3%,141.0
2026-02-27,Zwitserleven PW Europees Beheer Fonds 4%,191.67
2026-02-27,PP Optimaal Euro Mixfonds,42.12
2026-02-27,Zwitserleven RZL Euro Mixfonds,45.24
2026-02-27,Zwitserleven PW Collectief Garantiefonds,20.32
2026-02-27,Zwitserleven PW Doorlopend Garantiefonds,13.5
2026-02-27,Zwitserleven PW Europees Beheer Fonds 3%,189.72
